connector,organisation_1,organisation_2,org_conviction_1,org_country_1,org_continent_1,org_conviction_2,org_country_2,org_continent_2,international,intercontinental
tom mcdonnell,freedom21,sovereignty international,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
tom miers,institute of economic affairs,the free society,unconvinced of agw,uk,europe,unconvinced of agw,uk,europe,0,0
tom palmer,the bastiat society,atlas society,unconvinced of agw,usa,north america,,usa,north america,0,0
tom palmer,the bastiat society,institut turgot,unconvinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
tom palmer,the bastiat society,imani,unconvinced of agw,usa,north america,unconvinced of agw,unknown,unknown,1,1
tom palmer,atlas society,institut turgot,,usa,north america,unconvinced of agw,france,europe,1,1
tom palmer,atlas society,imani,,usa,north america,unconvinced of agw,unknown,unknown,1,1
tom palmer,institut turgot,imani,unconvinced of agw,france,europe,unconvinced of agw,unknown,unknown,1,1
tom tanton,american tradition institute,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
tom tanton,american tradition institute,the energy environment legal institute,unconvinced of agw,usa,north america,,usa,north america,0,0
tom tanton,clexit,the energy environment legal institute,unconvinced of agw,usa,north america,,usa,north america,0,0
trent england,freedom foundation,oklahoma council of public affairs,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
tyler cowen,niskanen center,institut turgot,convinced of agw,usa,north america,unconvinced of agw,france,europe,1,1
valentin petkantchin,montreal economic institute,institut economique molinari,unconvinced of agw,canada,north america,,france,europe,1,1
vernon l. smith,goldwater institute,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
vernon l. smith,goldwater institute,montreal economic institute,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
vernon l. smith,goldwater institute,western economic association international,unconvinced of agw,usa,north america,,usa,north america,0,0
vernon l. smith,goldwater institute,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
vernon l. smith,goldwater institute,austrian economics center,unconvinced of agw,usa,north america,unconvinced of agw,austria,europe,1,1
vernon l. smith,goldwater institute,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
vernon l. smith,virginia institute for public policy,montreal economic institute,unconvinced of agw,usa,north america,unconvinced of agw,canada,north america,1,0
vernon l. smith,virginia institute for public policy,western economic association international,unconvinced of agw,usa,north america,,usa,north america,0,0
vernon l. smith,virginia institute for public policy,institute of economic affairs,unconvinced of agw,usa,north america,unconvinced of agw,uk,europe,1,1
vernon l. smith,virginia institute for public policy,austrian economics center,unconvinced of agw,usa,north america,unconvinced of agw,austria,europe,1,1
vernon l. smith,virginia institute for public policy,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
vernon l. smith,montreal economic institute,western economic association international,unconvinced of agw,canada,north america,,usa,north america,1,0
vernon l. smith,montreal economic institute,institute of economic affairs,unconvinced of agw,canada,north america,unconvinced of agw,uk,europe,1,1
vernon l. smith,montreal economic institute,austrian economics center,unconvinced of agw,canada,north america,unconvinced of agw,austria,europe,1,1
vernon l. smith,montreal economic institute,mont pelerin society,unconvinced of agw,canada,north america,,global,global,1,1
vernon l. smith,western economic association international,institute of economic affairs,,usa,north america,unconvinced of agw,uk,europe,1,1
vernon l. smith,western economic association international,austrian economics center,,usa,north america,unconvinced of agw,austria,europe,1,1
vernon l. smith,western economic association international,mont pelerin society,,usa,north america,,global,global,1,1
vernon l. smith,institute of economic affairs,austrian economics center,unconvinced of agw,uk,europe,unconvinced of agw,austria,europe,1,0
vernon l. smith,institute of economic affairs,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
vernon l. smith,austrian economics center,mont pelerin society,unconvinced of agw,austria,europe,,global,global,1,1
victoria curzon-price,institute of economic affairs,liberales institut,unconvinced of agw,uk,europe,unconvinced of agw,switzerland,europe,1,0
victoria curzon-price,institute of economic affairs,institute for research in economics and fiscal issues,unconvinced of agw,uk,europe,unconvinced of agw,france,europe,1,0
victoria curzon-price,institute of economic affairs,hayek institut,unconvinced of agw,uk,europe,unconvinced of agw,austria,europe,1,0
victoria curzon-price,institute of economic affairs,mont pelerin society,unconvinced of agw,uk,europe,,global,global,1,1
victoria curzon-price,liberales institut,institute for research in economics and fiscal issues,unconvinced of agw,switzerland,europe,unconvinced of agw,france,europe,1,0
victoria curzon-price,liberales institut,hayek institut,unconvinced of agw,switzerland,europe,unconvinced of agw,austria,europe,1,0
victoria curzon-price,liberales institut,mont pelerin society,unconvinced of agw,switzerland,europe,,global,global,1,1
victoria curzon-price,institute for research in economics and fiscal issues,hayek institut,unconvinced of agw,france,europe,unconvinced of agw,austria,europe,1,0
victoria curzon-price,institute for research in economics and fiscal issues,mont pelerin society,unconvinced of agw,france,europe,,global,global,1,1
victoria curzon-price,hayek institut,mont pelerin society,unconvinced of agw,austria,europe,,global,global,1,1
vincent bénard,la main invisible,institut hayek,unconvinced of agw,france,europe,unconvinced of agw,belgium,europe,1,0
vincent bénard,la main invisible,institut economique molinari,unconvinced of agw,france,europe,,france,europe,0,0
vincent bénard,institut hayek,institut economique molinari,unconvinced of agw,belgium,europe,,france,europe,1,0
vincent de roeck,the property and freedom society,nova civitas,unconvinced of agw,usa,north america,unconvinced of agw,belgium,europe,1,1
vincent de roeck,the property and freedom society,libera!,unconvinced of agw,usa,north america,,belgium,europe,1,1
vincent de roeck,the property and freedom society,ludwig von mises institute europe,unconvinced of agw,usa,north america,,belgium,europe,1,1
vincent de roeck,nova civitas,libera!,unconvinced of agw,belgium,europe,,belgium,europe,0,0
vincent de roeck,nova civitas,ludwig von mises institute europe,unconvinced of agw,belgium,europe,,belgium,europe,0,0
vincent de roeck,libera!,ludwig von mises institute europe,,belgium,europe,,belgium,europe,0,0
virginia postrel,foundation for individual rights in education,niskanen center,,usa,north america,convinced of agw,usa,north america,0,0
viv forbes,the carbon sense coalition,clexit,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
vivian moses,scientific alliance,sense about science,unconvinced of agw,uk,europe,,uk,europe,0,0
walter allan,institute of economic affairs,freedom organisation for the right to enjoy smoking tobacco,unconvinced of agw,uk,europe,,uk,europe,0,0
walter block,ludwig von mises institute,stichting meer vrijheid,unconvinced of agw,usa,north america,unconvinced of agw,netherlands,europe,1,1
walter e. williams,american civil rights union,consumer alert,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,american civil rights union,john william pope center for higher education policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,american civil rights union,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,american civil rights union,calvert institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,american civil rights union,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
walter e. williams,american civil rights union,tobacco institute,unconvinced of agw,usa,north america,,usa,north america,0,0
walter e. williams,american civil rights union,mont pelerin society,unconvinced of agw,usa,north america,,global,global,1,1
walter e. williams,consumer alert,john william pope center for higher education policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,consumer alert,virginia institute for public policy,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,consumer alert,calvert institute for policy research,unconvinced of agw,usa,north america,unconvinced of agw,usa,north america,0,0
walter e. williams,consumer alert,committee on taxation and economic growth,unconvinced of agw,usa,north america,,usa,north america,0,0
